2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://as.com/futbol/sevilla/2025/08/22/sevilla-atento-julian-araujo.html
2025-09-02 | ETL_get_article_contents | WARNING  | ⚠️ Skipping https://www.eldesmarque.com/futbol/rayo-vallecano/inigo-perez-anuncia-plan-para-europa-20250827-509468.html — empty text scraped.
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://as.com/futbol/sevilla/2025/08/19/bade-punto-cerrar-traspaso-bayer-leverkusen.html
2025-09-02 | ETL_get_article_contents | WARNING  | ⚠️ Skipping https://as.com/futbol/sevilla/2025/08/27/akor-adams-baja-girona.html — empty text scraped.
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/real-sociedad/2025/08/24/real-empata-espanyol-evita-dudas.html
2025-09-02 | ETL_get_article_contents | WARNING  | ⚠️ Skipping https://as.com/futbol/sevilla/2025/08/25/sevilla-inicia-conversaciones-patterson.html — empty text scraped.
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://areapersonal.diariovasco.com/gestion/mi-cuenta.html
2025-09-02 | ETL_get_article_contents | WARNING  | ⚠️ Skipping https://as.com/futbol/sevilla/2025/08/26/sevilla-getafe-en-directo-laliga-ea-sports-hoy-en-vivo-n/ — empty text scraped.
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://plazadeportiva.valenciaplaza.com/plazadeportiva/valenciacf/el-val Valencia-cf-hace-oficial-la-cesion-de-largie-ramazani
2025-09-02 | ETL_get_article_contents | WARNING  | ⚠️ Skipping https://www.marca.com/futbol/real-sociedad/2025/08/24/real-empata-espanyol-evita-dudas.html — empty text scraped.
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.levante-emv.com/valencia-cf/2025/08/25/diego-lopez-renueva-valencia-cf-2029.html
2025-09-02 | ETL_get_article_contents | WARNING  | ⚠️ Skipping https://plazadeportiva.valenciaplaza.com/plazadeportiva/valenciacf/el-val Valencia-cf-hace-oficial-la-cesion-de-largie-ramazani — empty text scraped.
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.levante-emv.com/valencia-cf/2025/08/28/ramazani-nuevo-jugador-valencia.html
2025-09-02 | ETL_get_article_contents | WARNING  | ⚠️ Skipping https://as.com/futbol/sevilla/2025/08/19/bade-punto-cerrar-traspaso-bayer-leverkusen.html — empty text scraped.
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.estadiodeportivo.com/futbol/valencia-cf/acuerdo-para-fichaje-hugo-guillamon-20250823-508900.html
2025-09-02 | ETL_get_article_contents | WARNING  | ⚠️ Skipping https://as.com/futbol/sevilla/2025/08/22/sevilla-atento-julian-araujo.html — empty text scraped.
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/villarreal/2025/08/24/villarreal-quiere-repatriar-arnau-tenas.html#ancla_comentarios
2025-09-02 | ETL_get_article_contents | WARNING  | ⚠️ Skipping https://areapersonal.diariovasco.com/gestion/mi-cuenta.html — empty text scraped.
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/villarreal/2025/08/23/villarreal-girona-ceramica-quiere-sacar-musculo.html
2025-09-02 | ETL_get_article_contents | WARNING  | ⚠️ Skipping https://www.estadiodeportivo.com/futbol/valencia-cf/acuerdo-para-fichaje-hugo-guillamon-20250823-508900.html — empty text scraped.
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.marca.com/futbol/villarreal/2025/08/21/villarreal-ficha-renato-veiga.html#ancla_comentarios
2025-09-02 | ETL_get_article_contents | WARNING  | ⚠️ Skipping https://www.levante-emv.com/valencia-cf/2025/08/28/ramazani-nuevo-jugador-valencia.html — empty text scraped.
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.estadiodeportivo.com/futbol/villarreal/2025/08/23/villarreal-girona-submarino-hunde-los-michel-20250824-509073.html
2025-09-02 | ETL_get_article_contents | WARNING  | ⚠️ Skipping https://www.levante-emv.com/valencia-cf/2025/08/25/diego-lopez-renueva-valencia-cf-2029.html — empty text scraped.
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.estadiodeportivo.com/futbol/villarreal/renato-veiga-central-habla-siete-idiomas-me-gusta-me-pregunten.html
2025-09-02 | ETL_get_article_contents | WARNING  | ⚠️ Skipping https://www.marca.com/futbol/villarreal/2025/08/24/villarreal-quiere-repatriar-arnau-tenas.html#ancla_comentarios — empty text scraped.
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.estadiodeportivo.com/futbol/villarreal/2025/08/27/villarreal-negocia-sevilla-vargas-sustituto-pino-20250827-509368.html
2025-09-02 | ETL_get_article_contents | WARNING  | ⚠️ Skipping https://www.marca.com/futbol/villarreal/2025/08/23/villarreal-girona-ceramica-quiere-sacar-musculo.html — empty text scraped.
2025-09-02 | ETL_get_article_contents | INFO     | 🌐 Scraping content from URL: https://www.eldesmarque.com/futbol/villarreal-cf/2025/08/27/nueva-lesion-gravedad-villarreal-120982037.html
