2025-08-24 | ETL_get_article_contents | INFO     | Summarising article via LLM: https://www.marca.com/futbol/primera-division/album/2025/07/31/23-jugadores-inscritos-laliga-faltan-fichajes.html
2025-08-24 | ETL_get_article_contents | INFO     | 🔁 Trying Gemini (Google) model...
2025-08-24 | ETL_get_article_contents | INFO     | Gemini returned a valid response.
2025-08-24 | ETL_get_article_contents | INFO     | Summarising article via LLM: https://www.marca.com/futbol/real-madrid/2025/08/22/oviedo-real-madrid-a-que-hora-es-canal-y-donde-ver-hoy-en-tv-el-partido-de-la-jornada-2-de-laliga-ea-sports.html#ancla_comentarios
2025-08-24 | ETL_get_article_contents | INFO     | 🔁 Trying Gemini (Google) model...
2025-08-24 | ETL_get_article_contents | INFO     | Gemini returned a valid response.
2025-08-24 | ETL_get_article_contents | INFO     | Summarising article via LLM: https://www.marca.com/futbol/real-madrid/opinion/2025/08/24/florentino-miami-ventaja-darle-barca-517-millones.html
2025-08-24 | ETL_get_article_contents | INFO     | 🔁 Trying Gemini (Google) model...
2025-08-24 | ETL_get_article_contents | INFO     | Gemini returned a valid response.
2025-08-24 | ETL_get_article_contents | INFO     | Summarising article via LLM: https://www.marca.com/futbol/real-madrid/2025/08/24/ambientazo-oviedo-recibir-madr-video.html
2025-08-24 | ETL_get_article_contents | INFO     | 🔁 Trying Gemini (Google) model...
2025-08-24 | ETL_get_article_contents | INFO     | Gemini returned a valid response.
2025-08-24 | ETL_get_article_contents | INFO     | Summarising article via LLM: https://www.marca.com/futbol/real-madrid/2025/08/24/real-madrid-espera-llamada-premier.html
2025-08-24 | ETL_get_article_contents | INFO     | 🔁 Trying Gemini (Google) model...
2025-08-24 | ETL_get_article_contents | INFO     | Gemini returned a valid response.
2025-08-24 | ETL_get_article_contents | INFO     | Summarising article via LLM: https://www.marca.com/futbol/real-madrid/2025/08/24/real-madrid-vs-oviedo-valoracion-comentarios.html#ancla_comentarios
2025-08-24 | ETL_get_article_contents | INFO     | 🔁 Trying Gemini (Google) model...
2025-08-24 | ETL_get_article_contents | INFO     | Gemini returned a valid response.
2025-08-24 | ETL_get_article_contents | INFO     | Summarising article via LLM: https://www.marca.com/futbol/real-madrid/2025/08/23/locura-apodera-madrid-trampa-inglesa-mastantuono-mbappe-come-thiago-ultima-ruediger-video.html
2025-08-24 | ETL_get_article_contents | INFO     | 🔁 Trying Gemini (Google) model...
2025-08-24 | ETL_get_article_contents | INFO     | Gemini returned a valid response.
2025-08-24 | ETL_get_article_contents | INFO     | Summarising article via LLM: https://www.marca.com/futbol/real-madrid/2025/08/24/arbeloa-fichaje-queria.html
2025-08-24 | ETL_get_article_contents | INFO     | 🔁 Trying Gemini (Google) model...
2025-08-24 | ETL_get_article_contents | INFO     | Gemini returned a valid response.
2025-08-24 | ETL_get_article_contents | INFO     | Summarising article via LLM: https://www.marca.com/resultados/futbol/r-madrid/ficha-equipo/C186.html?intcmp=MENUMIGA&s_kw=ficha-de-equipo
2025-08-24 | ETL_get_article_contents | INFO     | 🔁 Trying Gemini (Google) model...
2025-08-24 | ETL_get_article_contents | INFO     | Gemini returned a valid response.
2025-08-24 | ETL_get_article_contents | INFO     | Summarising article via LLM: https://www.marca.com/futbol/real-madrid/2025/08/23/xabi-alonso-habla-todos-temas-sacuden-actualidad-madr-video.html
2025-08-24 | ETL_get_article_contents | INFO     | 🔁 Trying Gemini (Google) model...
2025-08-24 | ETL_get_article_contents | INFO     | Gemini returned a valid response.
2025-08-24 | ETL_get_article_contents | INFO     | Summarising article via LLM: https://www.marca.com/futbol/real-madrid/2025/08/24/cazorla-estuvo-punto-fichar-madrid-roig-freno-operacion.html#ancla_comentarios
2025-08-24 | ETL_get_article_contents | INFO     | 🔁 Trying Gemini (Google) model...
2025-08-24 | ETL_get_article_contents | INFO     | Gemini returned a valid response.
2025-08-24 | ETL_get_article_contents | INFO     | Summarising article via LLM: https://www.marca.com/futbol/real-madrid/2025/08/24/valverde-autoridad-blanca-gerrard-xabi-alonso.html#ancla_comentarios
2025-08-24 | ETL_get_article_contents | INFO     | 🔁 Trying Gemini (Google) model...
2025-08-24 | ETL_get_article_contents | INFO     | Gemini returned a valid response.
2025-08-24 | ETL_get_article_contents | INFO     | Summarising article via LLM: https://www.marca.com/resultados/futbol/r-madrid/estadisticas/C186.html?intcmp=MENUMIGA&s_kw=estadisticas
2025-08-24 | ETL_get_article_contents | INFO     | 🔁 Trying Gemini (Google) model...
2025-08-24 | ETL_get_article_contents | INFO     | Gemini returned a valid response.
2025-08-24 | ETL_get_article_contents | INFO     | Summarising article via LLM: https://www.marca.com/futbol/real-madrid/2025/08/23/xabi-alonso-disecciona-madrid-dos-opciones-mastantuono-futuro-rodrygo-datos-vini.html#ancla_comentarios
2025-08-24 | ETL_get_article_contents | INFO     | 🔁 Trying Gemini (Google) model...
2025-08-24 | ETL_get_article_contents | INFO     | Gemini returned a valid response.
2025-08-24 | ETL_get_article_contents | INFO     | Summarising article via LLM: https://www.marca.com/futbol/real-madrid/2025/08/24/xabi-alonso-sorprende-sentando-vinicius.html#ancla_comentarios
2025-08-24 | ETL_get_article_contents | INFO     | 🔁 Trying Gemini (Google) model...
2025-08-24 | ETL_get_article_contents | INFO     | Gemini returned a valid response.
2025-08-24 | ETL_get_article_contents | INFO     | Summarising article via LLM: https://www.marca.com/futbol/real-madrid/2025/08/23/xabi-alonso-disecciona-madrid-dos-opciones-mastantuono-futuro-rodrygo-datos-vini.html
2025-08-24 | ETL_get_article_contents | INFO     | 🔁 Trying Gemini (Google) model...
2025-08-24 | ETL_get_article_contents | INFO     | Gemini returned a valid response.
2025-08-24 | ETL_get_article_contents | INFO     | Summarising article via LLM: https://www.marca.com/futbol/real-madrid/2025/08/24/ruediger-vuelve-burgos.html#ancla_comentarios
2025-08-24 | ETL_get_article_contents | INFO     | 🔁 Trying Gemini (Google) model...
2025-08-24 | ETL_get_article_contents | INFO     | Gemini returned a valid response.
2025-08-24 | ETL_get_article_contents | INFO     | Summarising article via LLM: https://www.marca.com/futbol/oviedo/2025/08/24/oviedo-real-madrid-dia-grande-tartiere-durisima-travesia-desierto.html#ancla_comentarios
2025-08-24 | ETL_get_article_contents | INFO     | 🔁 Trying Gemini (Google) model...
2025-08-24 | ETL_get_article_contents | INFO     | Gemini returned a valid response.
2025-08-24 | ETL_get_article_contents | INFO     | Summarising article via LLM: https://www.marca.com/futbol/real-madrid/opinion/2025/08/24/florentino-miami-ventaja-darle-barca-517-millones.html#ancla_comentarios
2025-08-24 | ETL_get_article_contents | INFO     | 🔁 Trying Gemini (Google) model...
2025-08-24 | ETL_get_article_contents | INFO     | Gemini returned a valid response.
2025-08-24 | ETL_get_article_contents | INFO     | Summarising article via LLM: https://www.marca.com/futbol/mercado-fichajes/2025/08/24/68aabb5bf49425d14d3e5ff3-directo.html
2025-08-24 | ETL_get_article_contents | INFO     | 🔁 Trying Gemini (Google) model...
2025-08-24 | ETL_get_article_contents | INFO     | Gemini returned a valid response.
2025-08-24 | ETL_get_article_contents | INFO     | Summarising article via LLM: https://www.marca.com/futbol/real-madrid/2025/08/24/arbeloa-fichaje-queria.html#ancla_comentarios
2025-08-24 | ETL_get_article_contents | INFO     | 🔁 Trying Gemini (Google) model...
2025-08-24 | ETL_get_article_contents | INFO     | Gemini returned a valid response.
2025-08-24 | ETL_get_article_contents | INFO     | Summarising article via LLM: https://www.marca.com/resultados/futbol/r-madrid/clasificacion/C186.html?intcmp=MENUMIGA&s_kw=clasificacion
2025-08-24 | ETL_get_article_contents | INFO     | 🔁 Trying Gemini (Google) model...
2025-08-24 | ETL_get_article_contents | INFO     | Gemini returned a valid response.
2025-08-24 | ETL_get_article_contents | INFO     | Summarising article via LLM: https://www.marca.com/futbol/real-madrid/2025/08/23/xabi-alonso-parchea-valdebebas.html#ancla_comentarios
2025-08-24 | ETL_get_article_contents | INFO     | 🔁 Trying Gemini (Google) model...
2025-08-24 | ETL_get_article_contents | INFO     | Gemini returned a valid response.
2025-08-24 | ETL_get_article_contents | INFO     | Summarising article via LLM: https://www.marca.com/futbol/real-madrid/2025/08/24/xabi-alonso-sorprende-sentando-vinicius.html
2025-08-24 | ETL_get_article_contents | INFO     | 🔁 Trying Gemini (Google) model...
2025-08-24 | ETL_get_article_contents | INFO     | Gemini returned a valid response.
2025-08-24 | ETL_get_article_contents | INFO     | Summarising article via LLM: https://www.marca.com/resultados/futbol/r-madrid/calendario/C186.html?intcmp=MENUMIGA&s_kw=calendario
2025-08-24 | ETL_get_article_contents | INFO     | 🔁 Trying Gemini (Google) model...
2025-08-24 | ETL_get_article_contents | INFO     | Gemini returned a valid response.
2025-08-24 | ETL_get_article_contents | INFO     | Summarising article via LLM: https://www.marca.com/resultados/futbol/r-madrid/plantilla/C186.html?intcmp=MENUMIGA&s_kw=plantilla
2025-08-24 | ETL_get_article_contents | INFO     | 🔁 Trying Gemini (Google) model...
2025-08-24 | ETL_get_article_contents | INFO     | Gemini returned a valid response.
2025-08-24 | ETL_get_article_contents | INFO     | Summarising article via LLM: https://www.marca.com/futbol/real-madrid/2025/08/23/misteriosa-historia-mbappe-mensaje-sergio-ramos-me-pediste-vuel-video.html
2025-08-24 | ETL_get_article_contents | INFO     | 🔁 Trying Gemini (Google) model...
2025-08-24 | ETL_get_article_contents | INFO     | Gemini returned a valid response.
2025-08-24 | ETL_get_article_contents | INFO     | Summarising article via LLM: https://www.marca.com/futbol/primera-division/2025/08/23/ricardo-burgos-arbitrara-real-oviedo-real-madrid.html
2025-08-24 | ETL_get_article_contents | INFO     | 🔁 Trying Gemini (Google) model...
2025-08-24 | ETL_get_article_contents | INFO     | Gemini returned a valid response.
2025-08-24 | ETL_get_article_contents | INFO     | Summarising article via LLM: https://www.marca.com/futbol/real-madrid/2025/08/24/alineaciones-probables-real-oviedo-real-madrid-segunda-jornada-liga.html
2025-08-24 | ETL_get_article_contents | INFO     | 🔁 Trying Gemini (Google) model...
2025-08-24 | ETL_get_article_contents | INFO     | Gemini returned a valid response.
2025-08-24 | ETL_get_article_contents | INFO     | Summarising article via LLM: https://www.marca.com/resultados/futbol/r-madrid/clasificacion/C186.html
2025-08-24 | ETL_get_article_contents | INFO     | 🔁 Trying Gemini (Google) model...
2025-08-24 | ETL_get_article_contents | INFO     | Gemini returned a valid response.
2025-08-24 | ETL_get_article_contents | INFO     | Summarising article via LLM: https://www.marca.com/futbol/real-madrid/2025/08/24/vinicius-seco-lejos-bernabeu.html
2025-08-24 | ETL_get_article_contents | INFO     | 🔁 Trying Gemini (Google) model...
2025-08-24 | ETL_get_article_contents | INFO     | Gemini returned a valid response.
2025-08-24 | ETL_get_article_contents | INFO     | Summarising article via LLM: https://www.marca.com/resultados/futbol/r-madrid/estadisticas/C186.html
2025-08-24 | ETL_get_article_contents | INFO     | 🔁 Trying Gemini (Google) model...
2025-08-24 | ETL_get_article_contents | INFO     | Gemini returned a valid response.
